	date	Experiment	MBases	MBytes	organism	Run	SRA	Accession	sample_alias	tax_id	scientific_name	sample_title	sample_description	location number	sample_type	sample_id	sample_position
0	2017-06-30	ERX2079340	11	5	human metagenome	ERR2020093	ERS1803201	SAMEA104144183	103	646099	human metagenome	ne_40_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	40	ne	40_0	left_ant
1	2017-07-09	ERX2079341	29	13	human metagenome	ERR2020094	ERS1803202	SAMEA104144184	105	646099	human metagenome	ne_40_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	40	ne	40_0	left_post
2	2017-06-30	ERX2079342	10	5	human metagenome	ERR2020095	ERS1803203	SAMEA104144185	107	646099	human metagenome	ne_41_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	41	ne	41_0	left_ant
3	2017-07-09	ERX2079343	14	6	human metagenome	ERR2020096	ERS1803204	SAMEA104144186	109	646099	human metagenome	ne_41_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	41	ne	41_0	left_post
4	2017-07-03	ERX2079344	16	7	pig metagenome	ERR2020097	ERS1803205	SAMEA104144187	11	1176744	pig metagenome	pig_1_2__	nasal swab from pig	1	pig	1_2	NA
5	2017-07-03	ERX2079345	7	3	pig metagenome	ERR2020098	ERS1803206	SAMEA104144188	112	1176744	pig metagenome	pig_10_1__	nasal swab from pig	10	pig	10_1	NA
6	2017-06-30	ERX2079346	16	7	pig metagenome	ERR2020099	ERS1803207	SAMEA104144189	113	1176744	pig metagenome	pig_10_2__	nasal swab from pig	10	pig	10_2	NA
7	2017-07-03	ERX2079347	6	3	air metagenome	ERR2020100	ERS1803208	SAMEA104144190	114	655179	air metagenome	air sample from pig farm_10_0__	air sample from pig farm	10	air	10_air	NA
8	2017-06-30	ERX2079348	9	4	human metagenome	ERR2020101	ERS1803209	SAMEA104144191	115	646099	human metagenome	pigf_10_0_left_ant	nasal swab from pig farmer left nare anterior	10	pigf	10_0	left_ant
9	2017-06-30	ERX2079349	5	2	human metagenome	ERR2020102	ERS1803210	SAMEA104144192	117	646099	human metagenome	pigf_10_0_left_post	nasal swab from pig farmer left nare posterior	10	pigf	10_0	left_post
10	2017-06-30	ERX2079350	13	6	pig metagenome	ERR2020103	ERS1803211	SAMEA104144193	12	1176744	pig metagenome	pig_1_3__	nasal swab from pig	1	pig	1_3	NA
11	2017-06-30	ERX2079351	8	3	pig metagenome	ERR2020104	ERS1803212	SAMEA104144194	120	1176744	pig metagenome	pig_11_1__	nasal swab from pig	11	pig	11_1	NA
12	2017-06-30	ERX2079352	4	2	pig metagenome	ERR2020105	ERS1803213	SAMEA104144195	121	1176744	pig metagenome	pig_11_2__	nasal swab from pig	11	pig	11_2	NA
