#checklist_accession	ERC000011				
#unique_name_prefix					
sample_alias	tax_id	scientific_name	sample_title	sample_description	location number
10	1176744	pig metagenome	pig_1_1__	nasal swab from pig	1
103	646099	human metagenome	ne_40_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	40
105	646099	human metagenome	ne_40_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	40
107	646099	human metagenome	ne_41_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	41
109	646099	human metagenome	ne_41_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	41
11	1176744	pig metagenome	pig_1_2__	nasal swab from pig	1
112	1176744	pig metagenome	pig_10_1__	nasal swab from pig	10
113	1176744	pig metagenome	pig_10_2__	nasal swab from pig	10
114	655179	air metagenome	air sample from pig farm_10_0__	air sample from pig farm	10
115	646099	human metagenome	pigf_10_0_left_ant	nasal swab from pig farmer left nare anterior	10
117	646099	human metagenome	pigf_10_0_left_post	nasal swab from pig farmer left nare posterior	10
12	1176744	pig metagenome	pig_1_3__	nasal swab from pig	1
120	1176744	pig metagenome	pig_11_1__	nasal swab from pig	11
121	1176744	pig metagenome	pig_11_2__	nasal swab from pig	11
122	655179	air metagenome	air sample from pig farm_11_0__	air sample from pig farm	11
123	646099	human metagenome	pigf_11_0_left_ant	nasal swab from pig farmer left nare anterior	11
125	646099	human metagenome	pigf_11_0_left_post	nasal swab from pig farmer left nare posterior	11
127	646099	human metagenome	ne_42_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	42
129	646099	human metagenome	ne_42_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	42
13	655179	air metagenome	air sample from pig farm_1_0__	air sample from pig farm	1
131	646099	human metagenome	ne_43_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	43
133	646099	human metagenome	ne_43_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	43
135	646099	human metagenome	ne_44_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	44
137	646099	human metagenome	ne_44_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	44
143	646099	human metagenome	ne_45_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	45
145	646099	human metagenome	ne_45_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	45
148	646099	human metagenome	ne_46_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	46
150	646099	human metagenome	ne_46_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	46
152	646099	human metagenome	ne_47_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	47
154	646099	human metagenome	ne_47_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	47
157	646099	human metagenome	ne_48_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	48
158	646099	human metagenome	ne_48_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	48
193	646099	human metagenome	cowf_30_1_left_ant	nasal swab from cow farmer left nare anterior	30
195	646099	human metagenome	cowf_30_1_left_post	nasal swab from cow farmer left nare posterior	30
197	646099	human metagenome	cowf_30_2_left_ant	nasal swab from cow farmer left nare anterior	30
199	646099	human metagenome	cowf_30_2_left_post	nasal swab from cow farmer left nare posterior	30
2	646099	human metagenome	pigf_1_1_left_ant	nasal swab from pig farmer left nare anterior	1
201	646099	human metagenome	cowf_30_3_left_ant	nasal swab from cow farmer left nare anterior	30
203	646099	human metagenome	cowf_30_3_left_post	nasal swab from cow farmer left nare posterior	30
205	646099	human metagenome	cowf_30_4_left_ant	nasal swab from cow farmer left nare anterior	30
207	646099	human metagenome	cowf_30_4_left_post	nasal swab from cow farmer left nare posterior	30
210	1176744	pig metagenome	pig_12_1__	nasal swab from pig	12
211	1176744	pig metagenome	pig_12_2__	nasal swab from pig	12
217	646099	human metagenome	pigf_12_2_left_ant	nasal swab from pig farmer left nare anterior	12
219	646099	human metagenome	pigf_12_2_left_post	nasal swab from pig farmer left nare posterior	12
221	646099	human metagenome	pigf_12_3_left_ant	nasal swab from pig farmer left nare anterior	12
223	646099	human metagenome	pigf_12_3_left_post	nasal swab from pig farmer left nare posterior	12
226	1176744	pig metagenome	pig_13_1__	nasal swab from pig	13
227	1176744	pig metagenome	pig_13_2__	nasal swab from pig	13
228	655179	air metagenome	air sample from pig farm_13_0__	air sample from pig farm	13
233	646099	human metagenome	pigf_13_2_left_ant	nasal swab from pig farmer left nare anterior	13
235	646099	human metagenome	pigf_13_2_left_post	nasal swab from pig farmer left nare posterior	13
238	646099	human metagenome	pigf_13_3_left_ant	nasal swab from pig farmer left nare anterior	13
240	646099	human metagenome	pigf_13_3_left_post	nasal swab from pig farmer left nare posterior	13
242	646099	human metagenome	pigf_13_4_left_ant	nasal swab from pig farmer left nare anterior	13
244	646099	human metagenome	pigf_13_4_left_post	nasal swab from pig farmer left nare posterior	13
246	646099	human metagenome	pigf_13_5_left_ant	nasal swab from pig farmer left nare anterior	13
248	646099	human metagenome	pigf_13_5_left_post	nasal swab from pig farmer left nare posterior	13
264	646099	human metagenome	cowf_31_2_left_ant	nasal swab from cow farmer left nare anterior	31
266	646099	human metagenome	cowf_31_2_left_post	nasal swab from cow farmer left nare posterior	31
268	646099	human metagenome	cowf_31_3_left_ant	nasal swab from cow farmer left nare anterior	31
270	646099	human metagenome	cowf_31_3_left_post	nasal swab from cow farmer left nare posterior	31
276	646099	human metagenome	cowf_31_5_left_ant	nasal swab from cow farmer left nare anterior	31
278	646099	human metagenome	cowf_31_5_left_post	nasal swab from cow farmer left nare posterior	31
280	646099	human metagenome	cowf_31_6_left_ant	nasal swab from cow farmer left nare anterior	31
