input	filtered	denoisedF	denoisedR	merged	nonchim
103	49582	38740	38740	38740	37830	37660
105	126785	100672	100672	100672	98659	96775
131	106870	84465	84465	84465	81585	77668
133	71700	56621	56621	56621	55155	54591
193	108539	84378	84378	84378	78312	75764
195	131117	103505	103505	103505	96517	93408
211	66702	52906	52906	52906	47460	43053
212	38682	34078	34078	34078	31463	31024
221	70827	54877	54877	54877	49184	48150
223	137499	104406	104406	104406	98386	96535
276	83584	66541	66541	66541	60816	59502
278	65789	51637	51637	51637	49260	48288
313	94378	72200	72200	72200	70410	69007
315	166757	131186	131186	131186	128474	125299
43	105037	82708	82708	82708	78012	76106
44	70950	56135	56135	56135	53886	52995
45	98308	78608	78608	78608	72024	69327
47	100167	79538	79538	79538	74149	72964
509	53235	41129	41129	41129	39300	38790
511	63121	48040	48040	48040	45570	44806
588	82852	71248	71248	71248	63926	60223
589	93293	82194	82194	82194	77047	76104
590	91038	83976	83976	83976	74347	70637
592	59278	53756	53756	53756	46755	45245
